connections,requests,replies,test_duration,connection_rate,connection_time_min,connection_time_avg,connection_time_max,connection_time_median,connection_time_stddev,connection_time,conn_length,request_rate,reply_rate_min,reply_rate_avg,reply_rate_max,reply_rate_stddev,reply_time_response,reply_time_tranfer,1xx_codes,2xx_codes,3xx_codes,4xx_codes,5xx_codes,cpu_user,cpu_system,net_io,error_total,error_cli_timo,error_socket_timo,error_conn_refused,error_conn_reset,error_fd_unavail,error_addrunavail,error_ftab-full,error_other
1,1,1,0.073,13.6,73.4,73.4,73.4,73.5,0.0,35.5,1.000,13.6,0.0,0.0,0.0,0.0,37.9,0.0,0,0,0,1,0,0.00,0.07,3.2,0,0,0,0,0,0,0,0,0
1,1,1,0.079,12.7,78.5,78.5,78.5,78.5,0.0,38.3,1.000,12.7,0.0,0.0,0.0,0.0,40.3,0.0,0,0,0,1,0,0.02,0.06,3.0,0,0,0,0,0,0,0,0,0
1,1,1,0.067,14.8,67.4,67.4,67.4,67.5,0.0,32.9,1.000,14.8,0.0,0.0,0.0,0.0,34.5,0.0,0,0,0,1,0,0.02,0.05,3.5,0,0,0,0,0,0,0,0,0
1,1,1,0.072,13.9,71.9,71.9,71.9,71.5,0.0,35.3,1.000,13.9,0.0,0.0,0.0,0.0,36.7,0.0,0,0,0,1,0,0.02,0.06,3.3,0,0,0,0,0,0,0,0,0
1,1,1,0.067,14.9,67.0,67.0,67.0,67.5,0.0,32.9,1.000,14.9,0.0,0.0,0.0,0.0,34.1,0.0,0,0,0,1,0,0.02,0.04,3.5,0,0,0,0,0,0,0,0,0
1,1,1,0.072,13.9,71.8,71.8,71.8,71.5,0.0,35.3,1.000,13.9,0.0,0.0,0.0,0.0,36.5,0.0,0,0,0,1,0,0.01,0.06,3.3,0,0,0,0,0,0,0,0,0
1,1,1,0.072,13.9,72.1,72.1,72.1,72.5,0.0,35.5,1.000,13.9,0.0,0.0,0.0,0.0,36.6,0.0,0,0,0,1,0,0.02,0.05,3.3,0,0,0,0,0,0,0,0,0
1,1,1,0.072,13.9,71.7,71.7,71.7,71.5,0.0,35.3,1.000,13.9,0.0,0.0,0.0,0.0,36.5,0.0,0,0,0,1,0,0.02,0.06,3.3,0,0,0,0,0,0,0,0,0
1,1,1,0.072,13.9,71.9,71.9,71.9,71.5,0.0,35.5,1.000,13.9,0.0,0.0,0.0,0.0,36.4,0.0,0,0,0,1,0,0.02,0.06,3.3,0,0,0,0,0,0,0,0,0
1,1,1,0.072,13.9,72.0,72.0,72.0,72.5,0.0,35.4,1.000,13.9,0.0,0.0,0.0,0.0,36.6,0.0,0,0,0,1,0,0.02,0.06,3.3,0,0,0,0,0,0,0,0,0
1,1,1,0.077,13.0,77.0,77.0,77.0,77.5,0.0,38.1,1.000,13.0,0.0,0.0,0.0,0.0,39.0,0.0,0,0,0,1,0,0.02,0.06,3.1,0,0,0,0,0,0,0,0,0
1,1,1,0.077,13.1,76.6,76.6,76.6,76.5,0.0,37.7,1.000,13.1,0.0,0.0,0.0,0.0,38.9,0.0,0,0,0,1,0,0.02,0.05,3.1,0,0,0,0,0,0,0,0,0
1,1,1,0.072,13.9,71.9,71.9,71.9,71.5,0.0,35.3,1.000,13.9,0.0,0.0,0.0,0.0,36.6,0.0,0,0,0,1,0,0.02,0.06,3.3,0,0,0,0,0,0,0,0,0
1,1,1,0.067,15.0,66.8,66.8,66.8,66.5,0.0,33.0,1.000,15.0,0.0,0.0,0.0,0.0,33.8,0.0,0,0,0,1,0,0.01,0.06,3.5,0,0,0,0,0,0,0,0,0
1,1,1,0.067,14.9,67.0,67.0,67.0,66.5,0.0,32.9,1.000,14.9,0.0,0.0,0.0,0.0,34.0,0.0,0,0,0,1,0,0.01,0.06,3.5,0,0,0,0,0,0,0,0,0
1,1,1,0.077,13.0,77.1,77.1,77.1,77.5,0.0,38.0,1.000,13.0,0.0,0.0,0.0,0.0,39.1,0.0,0,0,0,1,0,0.03,0.04,3.1,0,0,0,0,0,0,0,0,0
1,1,1,0.067,14.9,66.9,66.9,66.9,66.5,0.0,32.8,1.000,14.9,0.0,0.0,0.0,0.0,34.2,0.0,0,0,0,1,0,0.03,0.04,3.5,0,0,0,0,0,0,0,0,0
1,1,1,0.067,15.0,66.7,66.7,66.7,66.5,0.0,32.9,1.000,15.0,0.0,0.0,0.0,0.0,33.9,0.0,0,0,0,1,0,0.01,0.06,3.5,0,0,0,0,0,0,0,0,0
1,1,1,0.072,13.9,71.9,71.9,71.9,71.5,0.0,35.4,1.000,13.9,0.0,0.0,0.0,0.0,36.5,0.0,0,0,0,1,0,0.01,0.06,3.3,0,0,0,0,0,0,0,0,0
1,1,1,0.072,13.9,71.8,71.8,71.8,71.5,0.0,35.5,1.000,13.9,0.0,0.0,0.0,0.0,36.3,0.0,0,0,0,1,0,0.01,0.06,3.3,0,0,0,0,0,0,0,0,0
1,1,1,0.067,14.9,66.9,66.9,66.9,66.5,0.0,32.8,1.000,14.9,0.0,0.0,0.0,0.0,34.1,0.0,0,0,0,1,0,0.02,0.05,3.5,0,0,0,0,0,0,0,0,0
